ἀφορίζω	Genesis 2:10	956
τέσσαρες	Genesis 2:10	958
ὄνομα	Genesis 2:11	960
Φισων	Genesis 2:11	963
κυκλόω	Genesis 2:11	966
Ευιλατ	Genesis 2:11	970
χρυσίον	Genesis 2:11	975
ἐκεῖνος	Genesis 2:12	981
ἄνθραξ	Genesis 2:12	987
λίθος	Genesis 2:12	990
πράσινος	Genesis 2:12	992
Γηων	Genesis 2:13	999
Αἰθιοπία	Genesis 2:13	1006
Τίγρις	Genesis 2:14	1012
πορεύομαι	Genesis 2:14	1015
κατέναντι	Genesis 2:14	1016
Ἀσσύριος	Genesis 2:14	1017
Εὐφράτης	Genesis 2:14	1024
λαμβάνω	Genesis 2:15	1026
φυλάσσω	Genesis 2:15	1043
ἐντέλλομαι	Genesis 2:16	1045
Ἀδάμ	Genesis 2:16	1050
ἐσθίω	Genesis 2:16	1060
γινώσκω	Genesis 2:17	1066
ἄν	Genesis 2:17	1076
θάνατος	Genesis 2:17	1081
ἀποθνήσκω	Genesis 2:17	1082
μόνον	Genesis 2:18	1093
βοηθός	Genesis 2:18	1096
ἄγω	Genesis 2:19	1119
πρός	Genesis 2:19	1121
τίς	Genesis 2:19	1125
ἐάν	Genesis 2:19	1131
εὑρίσκω	Genesis 2:20	1163
ὅμοιος	Genesis 2:20	1165
ἐπιβάλλω	Genesis 2:21	1168
ἔκστασις	Genesis 2:21	1171
ὑπνόω	Genesis 2:21	1176
πλευρά	Genesis 2:21	1181
ἀναπληρόω	Genesis 2:21	1184
σάρξ	Genesis 2:21	1185
ἀντί	Genesis 2:21	1186
οἰκοδομέω	Genesis 2:22	1189
γυνή	Genesis 2:22	1201
νῦν	Genesis 2:23	1212
ὀστέον	Genesis 2:23	1213
μου	Genesis 2:23	1217
ἀνήρ	Genesis 2:23	1230
ἕνεκα	Genesis 2:24	1234
καταλείπω	Genesis 2:24	1236
πατήρ	Genesis 2:24	1239
μήτηρ	Genesis 2:24	1243
προσκολλάω	Genesis 2:24	1246
γυμνός	Genesis 2:25	1262
τε	Genesis 2:25	1264
αἰσχύνω	Genesis 2:25	1272
ὄφις	Genesis 3:1	1275
φρόνιμος	Genesis 3:1	1277
μή	Genesis 3:1	1302
οὐδέ	Genesis 3:3	1341
ἅπτομαι	Genesis 3:3	1343
ἵνα	Genesis 3:3	1345
διανοίγω	Genesis 3:5	1369
ὑμῶν	Genesis 3:5	1370
ὀφθαλμός	Genesis 3:5	1372
ὥς	Genesis 3:5	1375
ἀρεστός	Genesis 3:6	1393
κατανοέω	Genesis 3:6	1401
μετά	Genesis 3:6	1414
ῥάπτω	Genesis 3:7	1430
φύλλον	Genesis 3:7	1431
συκῆ	Genesis 3:7	1432
περίζωμα	Genesis 3:7	1436
ἀκούω	Genesis 3:8	1438
φωνή	Genesis 3:8	1440
περιπατέω	Genesis 3:8	1444
δειλινός	Genesis 3:8	1449
κρύπτω	Genesis 3:8	1451
ποῦ	Genesis 3:9	1481
σοῦ	Genesis 3:10	1488
φοβέω	Genesis 3:10	1495
ἀναγγέλλω	Genesis 3:11	1505
σοί	Genesis 3:11	1506
μόνος	Genesis 3:11	1518
ἐμοῦ	Genesis 3:12	1533
μοι	Genesis 3:12	1535
ἀπατάω	Genesis 3:13	1558
μέ	Genesis 3:13	1559
ἐπικατάρατος	Genesis 3:14	1572
σύ	Genesis 3:14	1573
στῆθος	Genesis 3:14	1587
κοιλία	Genesis 3:14	1591
ἔχθρα	Genesis 3:15	1603
τηρέω	Genesis 3:15	1627
κεφαλή	Genesis 3:15	1628
πτέρνα	Genesis 3:15	1633
λύπη	Genesis 3:16	1641
στεναγμός	Genesis 3:16	1645
τίκτω	Genesis 3:16	1649
τέκνον	Genesis 3:16	1650
ἀποστροφή	Genesis 3:16	1657
κυριεύω	Genesis 3:16	1662
ἄκανθα	Genesis 3:18	1705
τρίβολος	Genesis 3:18	1707
ἱδρώς	Genesis 3:19	1717
ἄρτος	Genesis 3:19	1723
ἕως	Genesis 3:19	1725
ἀποστρέφω	Genesis 3:19	1727
σέ	Genesis 3:19	1728
ἀπέρχομαι	Genesis 3:19	1741
χιτών	Genesis 3:21	1768
δερμάτινος	Genesis 3:21	1769
ἐνδύω	Genesis 3:21	1771
ἡμῶν	Genesis 3:22	1783
μήποτε	Genesis 3:22	1791
ἐκτείνω	Genesis 3:22	1792
χείρ	Genesis 3:22	1794
αἰών	Genesis 3:22	1807
ἐξαποστέλλω	Genesis 3:23	1809
τρυφή	Genesis 3:23	1818
ἐκβάλλω	Genesis 3:24	1826
κατοικέω	Genesis 3:24	1830
ἀπέναντι	Genesis 3:24	1832
τάσσω	Genesis 3:24	1838
χερούβ	Genesis 3:24	1840
φλόγινος	Genesis 3:24	1843
ῥομφαία	Genesis 3:24	1844
στρέφω	Genesis 3:24	1846
ὁδός	Genesis 3:24	1849
Εὖα	Genesis 4:1	1857
συλλαμβάνω	Genesis 4:1	1862
Κάϊν	Genesis 4:1	1865
κτάομαι	Genesis 4:1	1868
διά	Genesis 4:1	1870
προστίθημι	Genesis 4:2	1874
ἀδελφός	Genesis 4:2	1877
Ἄβελ	Genesis 4:2	1880
ποιμήν	Genesis 4:2	1884
πρόβατον	Genesis 4:2	1885
φέρω	Genesis 4:3	1896
θυσία	Genesis 4:3	1903
πρωτότοκος	Genesis 4:4	1913
στέαρ	Genesis 4:4	1920
ἐπεῖδον	Genesis 4:4	1923
δῶρον	Genesis 4:4	1931
προσέχω	Genesis 4:5	1942
λυπέω	Genesis 4:5	1944
συμπίπτω	Genesis 4:5	1949
περίλυπος	Genesis 4:6	1961
ὀρθῶς	Genesis 4:7	1972
προσφέρω	Genesis 4:7	1973
διαιρέω	Genesis 4:7	1977
ἁμαρτάνω	Genesis 4:7	1978
ἡσυχάζω	Genesis 4:7	1979
διέρχομαι	Genesis 4:8	1997
πεδίον	Genesis 4:8	2000
ἀνίστημι	Genesis 4:8	2011
ἀποκτείνω	Genesis 4:8	2019
φύλαξ	Genesis 4:9	2039
ἐγώ	Genesis 4:9	2044
αἷμα	Genesis 4:10	2052
βοάω	Genesis 4:10	2056
χαίνω	Genesis 4:11	2070
στόμα	Genesis 4:11	2072
δέχομαι	Genesis 4:11	2074
ἰσχύς	Genesis 4:12	2092
στένω	Genesis 4:12	2096
τρέμω	Genesis 4:12	2098
μείζων	Genesis 4:13	2109
αἰτία	Genesis 4:13	2111
ἀφίημι	Genesis 4:13	2114
εἰ	Genesis 4:14	2116
σήμερον	Genesis 4:14	2119
ἑπτά	Genesis 4:15	2158
ἐκδικέω	Genesis 4:15	2159
παραλύω	Genesis 4:15	2160
ἀναιρέω	Genesis 4:15	2171
ἐξέρχομαι	Genesis 4:16	2177
οἰκέω	Genesis 4:16	2185
Ναιδ	Genesis 4:16	2188
Ἐνώχ	Genesis 4:17	2201
πόλις	Genesis 4:17	2205
ἐπονομάζω	Genesis 4:17	2207
υἱός	Genesis 4:17	2214
Γαιδαδ	Genesis 4:18	2221
γεννάω	Genesis 4:18	2224
Μαιηλ	Genesis 4:18	2226
Μαθουσαλά	Genesis 4:18	2231
Λάμεχ	Genesis 4:18	2236
Αδα	Genesis 4:19	2246
Σελλα	Genesis 4:19	2251
Ιωβελ	Genesis 4:20	2256
σκηνή	Genesis 4:20	2263
κτηνοτρόφος	Genesis 4:20	2264
Ιουβαλ	Genesis 4:21	2270
καταδείκνυμι	Genesis 4:21	2274
ψαλτήριον	Genesis 4:21	2275
κιθάρα	Genesis 4:21	2277
Θοβελ	Genesis 4:22	2284
σφυροκόπος	Genesis 4:22	2287
χαλκεύς	Genesis 4:22	2288
χαλκός	Genesis 4:22	2289
σίδηρος	Genesis 4:22	2291
ἀδελφή	Genesis 4:22	2292
Νοεμα	Genesis 4:22	2295
ἐνωτίζομαι	Genesis 4:23	2311
λόγος	Genesis 4:23	2314
τραῦμα	Genesis 4:23	2319
ἐμοί	Genesis 4:23	2320
νεανίσκος	Genesis 4:23	2322
μώλωψ	Genesis 4:23	2324
ἑπτάκις	Genesis 4:24	2327
ἑβδομηκοντάκις	Genesis 4:24	2334
Σήθ	Genesis 4:25	2352
ἐξανίστημι	Genesis 4:25	2354
ἕτερος	Genesis 4:25	2360
Ἐνώς	Genesis 4:26	2376
ἐλπίζω	Genesis 4:26	2378
ἐπικαλέω	Genesis 4:26	2379
διακόσιοι	Genesis 5:3	2423
τριάκοντα	Genesis 5:3	2425
ἔτος	Genesis 5:3	2426
ἰδέα	Genesis 5:3	2431
ἑπτακόσιοι	Genesis 5:4	2455
θυγάτηρ	Genesis 5:4	2461
ἐννακόσιοι	Genesis 5:5	2470
πέντε	Genesis 5:6	2481
δώδεκα	Genesis 5:8	2513
ἑκατόν	Genesis 5:9	2520
ἐνενήκοντα	Genesis 5:9	2521
Καϊνάν	Genesis 5:9	2526
δέκα	Genesis 5:10	2538
ἑβδομήκοντα	Genesis 5:12	2562
Μαλελεήλ	Genesis 5:12	2567
τεσσαράκοντα	Genesis 5:13	2579
ἑξήκοντα	Genesis 5:15	2603
Ἰάρεδ	Genesis 5:15	2609
ὀκτακόσιοι	Genesis 5:17	2634
εὐαρεστέω	Genesis 5:22	2694
τριακόσιοι	Genesis 5:23	2718
μετατίθημι	Genesis 5:24	2731
ἐννέα	Genesis 5:27	2775
ὀγδοήκοντα	Genesis 5:28	2783
ὀκτώ	Genesis 5:28	2784
Νῶε	Genesis 5:29	2794
διαναπαύω	Genesis 5:29	2797
ἡμᾶς	Genesis 5:29	2798
καταράομαι	Genesis 5:29	2815
πεντακόσιοι	Genesis 5:30	2828
πεντήκοντα	Genesis 5:31	2846
τρεῖς	Genesis 5:31	2847
Σήμ	Genesis 5:32	2862
Χαμ	Genesis 5:32	2864
Ιαφεθ	Genesis 5:32	2866
ἡνίκα	Genesis 6:1	2869
πολύς	Genesis 6:1	2873
ἐκλέγω	Genesis 6:2	2901
καταμένω	Genesis 6:3	2909
εἴκοσι	Genesis 6:3	2931
γίγας	Genesis 6:4	2935
εἰσπορεύομαι	Genesis 6:4	2949
ὀνομαστός	Genesis 6:4	2972
κακία	Genesis 6:5	2981
τις	Genesis 6:5	2989
διανοέομαι	Genesis 6:5	2990
καρδία	Genesis 6:5	2993
ἐπιμελῶς	Genesis 6:5	2995
ἐνθυμέομαι	Genesis 6:6	3003
ἀπαλείφω	Genesis 6:7	3019
θυμόω	Genesis 6:7	3041
χάρις	Genesis 6:8	3048
ἐναντίον	Genesis 6:8	3049
δίκαιος	Genesis 6:9	3060
τέλειος	Genesis 6:9	3061
γενεά	Genesis 6:9	3065
φθείρω	Genesis 6:11	3082
πλήθω	Genesis 6:11	3090
ἀδικία	Genesis 6:11	3093
καταφθείρω	Genesis 6:12	3103
ἥκω	Genesis 6:13	3123
οὖν	Genesis 6:14	3142
σεαυτοῦ	Genesis 6:14	3143
κιβωτός	Genesis 6:14	3144
τετράγωνος	Genesis 6:14	3147
νοσσιά	Genesis 6:14	3148
ἀσφαλτόω	Genesis 6:14	3153
ἔσωθεν	Genesis 6:14	3155
ἔξωθεν	Genesis 6:14	3157
ἄσφαλτος	Genesis 6:14	3159
πῆχυς	Genesis 6:15	3166
μῆκος	Genesis 6:15	3168
πλάτος	Genesis 6:15	3175
ὕψος	Genesis 6:15	3180
ἐπισυνάγω	Genesis 6:16	3182
ἄνωθεν	Genesis 6:16	3191
θύρα	Genesis 6:16	3194
πλάγιος	Genesis 6:16	3199
κατάγαιος	Genesis 6:16	3200
διώροφος	Genesis 6:16	3201
τριώροφος	Genesis 6:16	3203
ἐπάγω	Genesis 6:17	3209
κατακλυσμός	Genesis 6:17	3211
τελευτάω	Genesis 6:17	3234
ἵστημι	Genesis 6:18	3236
διαθήκη	Genesis 6:18	3238
εἰσέρχομαι	Genesis 6:18	3242
εἰσάγω	Genesis 6:19	3287
τρέφω	Genesis 6:19	3292
ὄρνεον	Genesis 6:20	3302
βρῶμα	Genesis 6:21	3347
οἶκος	Genesis 7:1	3384
καθαρός	Genesis 7:2	3404
διατρέφω	Genesis 7:3	3450
ὑετός	Genesis 7:4	3462
ἐξαλείφω	Genesis 7:4	3472
ἐξανάστασις	Genesis 7:4	3475
ἑξακόσιοι	Genesis 7:6	3496
καθά	Genesis 7:9	3569
ἑξακοσιοστός	Genesis 7:11	3591
μήν	Genesis 7:11	3600
εἰκάς	Genesis 7:11	3603
ῥήγνυμι	Genesis 7:11	3609
καταρράκτης	Genesis 7:11	3617
ἀνοίγω	Genesis 7:11	3620
κινέω	Genesis 7:14	3675
κλείω	Genesis 7:16	3719
ἐπαίρω	Genesis 7:17	3744
ὑψόω	Genesis 7:17	3748
ἐπικρατέω	Genesis 7:18	3753
σφόδρα	Genesis 7:18	3758
σφοδρῶς	Genesis 7:19	3774
ἐπικαλύπτω	Genesis 7:19	3779
ὄρος	Genesis 7:19	3782
ὑψηλός	Genesis 7:19	3784
ἀνάστημα	Genesis 7:23	3848
μνάομαι	Genesis 8:1	3894
κοπάζω	Genesis 8:1	3931
συνέχω	Genesis 8:2	3946
ἐνδίδωμι	Genesis 8:3	3953
ἐλαττονέω	Genesis 8:3	3962
καθίζω	Genesis 8:4	3971
Αραρατ	Genesis 8:4	3987
δέκατος	Genesis 8:5	3995
ἑνδέκατος	Genesis 8:5	4000
πρῶτος	Genesis 8:5	4003
θυρίς	Genesis 8:6	4019
ἀποστέλλω	Genesis 8:7	4025
κόραξ	Genesis 8:7	4027
ὑποστρέφω	Genesis 8:7	4037
ξηραίνω	Genesis 8:7	4040
περιστερά	Genesis 8:8	4049
ὀπίσω	Genesis 8:8	4050
ἀνάπαυσις	Genesis 8:9	4066
πούς	Genesis 8:9	4068
ἐπέχω	Genesis 8:10	4101
πάλιν	Genesis 8:10	4106
ἀναστρέφω	Genesis 8:11	4114
ἐλαία	Genesis 8:11	4125
κάρφος	Genesis 8:11	4126
ἐπιστρέφω	Genesis 8:12	4155
ἐκλείπω	Genesis 8:13	4178
ἀποκαλύπτω	Genesis 8:13	4185
στέγη	Genesis 8:13	4188
θυσιαστήριον	Genesis 8:20	4325
ἀναφέρω	Genesis 8:20	4344
ὁλοκάρπωσις	Genesis 8:20	4345
ὀσφραίνομαι	Genesis 8:21	4350
ὀσμή	Genesis 8:21	4354
εὐωδία	Genesis 8:21	4355
ἔγκειμαι	Genesis 8:21	4375
διάνοια	Genesis 8:21	4377
νεότης	Genesis 8:21	4385
πατάσσω	Genesis 8:21	4390
καθώς	Genesis 8:21	4394
θερισμός	Genesis 8:22	4403
ψῦχος	Genesis 8:22	4404
καῦμα	Genesis 8:22	4406
θέρος	Genesis 8:22	4407
ἔαρ	Genesis 8:22	4409
τρόμος	Genesis 9:2	4440
φόβος	Genesis 9:2	4444
ὑπό	Genesis 9:2	4474
λάχανον	Genesis 9:3	4489
πλήν	Genesis 9:4	4495
κρέας	Genesis 9:4	4496
ὑμέτερος	Genesis 9:5	4505
ἐκζητέω	Genesis 9:5	4510
ἐκχέω	Genesis 9:6	4529
ὑμεῖς	Genesis 9:7	4544
ὑμᾶς	Genesis 9:9	4582
αἰώνιος	Genesis 9:12	4672
τόξον	Genesis 9:13	4674
νεφέλη	Genesis 9:13	4679
συννεφέω	Genesis 9:14	4695
μιμνήσκω	Genesis 9:15	4709
διατίθεμαι	Genesis 9:17	4784
Χαναάν	Genesis 9:18	4814
διασπείρω	Genesis 9:19	4823
γεωργός	Genesis 9:20	4832
ἀμπελών	Genesis 9:20	4836
πίνω	Genesis 9:21	4838
οἶνος	Genesis 9:21	4841
μεθύω	Genesis 9:21	4843
γυμνόω	Genesis 9:21	4845
γύμνωσις	Genesis 9:22	4857
ἔξω	Genesis 9:22	4868
ἱμάτιον	Genesis 9:23	4875
ἐπιτίθημι	Genesis 9:23	4876
νῶτος	Genesis 9:23	4880
ὀπισθοφανῶς	Genesis 9:23	4884
συγκαλύπτω	Genesis 9:23	4886
ὀπισθοφανής	Genesis 9:23	4896
ἐκνήφω	Genesis 9:24	4905
νέος	Genesis 9:24	4920
παῖς	Genesis 9:25	4925
οἰκέτης	Genesis 9:25	4926
εὐλογητός	Genesis 9:26	4933
πλατύνω	Genesis 9:27	4944
Γαμερ	Genesis 10:2	5000
Μαγώγ	Genesis 10:2	5002
Μαδαι	Genesis 10:2	5004
Ιωυαν	Genesis 10:2	5006
Ελισα	Genesis 10:2	5008
Μοσοχ	Genesis 10:2	5012
Θιρας	Genesis 10:2	5014
Ασχαναζ	Genesis 10:3	5018
Ριφαθ	Genesis 10:3	5020
Θοργαμα	Genesis 10:3	5022
Θαρσις	Genesis 10:4	5028
Κίτιος	Genesis 10:4	5029
Ῥόδιος	Genesis 10:4	5030
νῆσος	Genesis 10:5	5034
ἔθνος	Genesis 10:5	5036
ἕκαστος	Genesis 10:5	5041
γλῶσσα	Genesis 10:5	5043
φυλή	Genesis 10:5	5046
Χους	Genesis 10:6	5056
Μεσραιμ	Genesis 10:6	5058
Φουδ	Genesis 10:6	5059
Σαβα	Genesis 10:7	5065
Ευιλα	Genesis 10:7	5067
Σαβαθα	Genesis 10:7	5069
Ρεγμα	Genesis 10:7	5071
Σαβακαθα	Genesis 10:7	5073
Δαδαν	Genesis 10:7	5079
Νεβρωδ	Genesis 10:8	5084
κυνηγός	Genesis 10:9	5095
ἐρέω	Genesis 10:9	5102
βασιλεία	Genesis 10:10	5113
Βαβυλών	Genesis 10:10	5115
Ορεχ	Genesis 10:10	5117
Αρχαδ	Genesis 10:10	5119
Χαλαννη	Genesis 10:10	5121
Σεννααρ	Genesis 10:10	5125
Ασσουρ	Genesis 10:11	5131
Νινευΐ	Genesis 10:11	5135
Ροωβωθ	Genesis 10:11	5138
